"Иисус Христос – суперзвезда» это";	1; 1; рок-опера;	балет;	симфония;	
"Выберите автора рок-оперы Иисус Христос – суперзвезда"; 1;	2;	П.И.Чайковский;	Э.Л.Уэббер;	А.Шнитке;	 
"Кто сочинил Гоголь-сюиту?";	2;	2;	Ю. Любимов; 	А.Шнитке;	Н.Гоголь;	
"Назовите композитора, сочинившего Кармен-сюиту";	1;	3;	А. Шнитке;	Ж.Бизе;	Р.Щедрин;	
"О каком композиторе эти слова: Не ручей – море имя ему?"; 	1;	3;	Бетховен;	Моцарт;	Григ;	 
"Что такое месса?";	2; 1; церковная музыка;	вступление; заключение; 	 
"Какой композитор создал музыкальные зарисовки для симфонического оркестра Ромео и Джульетта?";	1;	3;	Шекспир;	Чайковский; 	Кабалевский;	
"Кто является автором Всенощного бдения?";	1;	1;	Рахманинов;	Бизе;	Щедрин;	 
"К какой группе инструментов относятся литавры?";	1;	2;	струнные;	медные духовые;	ударные;	 
"Как по-итальянски будет ускоряя?";	1;	1;	Accelerando;	Poco a poco;	Ritardando;	
